Time (s),Voltage (V),Current (A)
0.00000430,430.00000000,0.01000000
0.00000432,432.00000000,0.01000000
0.00000434,434.00000000,0.01000000
0.00000436,436.00000000,0.01000000
0.00000438,438.00000000,0.01000000
0.00000440,440.00000000,0.01000000
0.00000442,442.00000000,0.01000000
0.00000444,444.00000000,0.01000000
0.00000446,446.00000000,0.01000000
0.00000448,448.00000000,0.01000000
0.00000450,450.00000000,0.01000000
0.00000452,452.00000000,0.01000000
0.00000454,454.00000000,0.01000000
0.00000456,456.00000000,0.01000000
0.00000458,458.00000000,0.01000000
0.00000460,460.00000000,0.01000000
0.00000462,462.00000000,0.01000000
0.00000464,464.00000000,0.01000000
0.00000466,466.00000000,0.01000000
0.00000468,468.00000000,0.01000000
0.00000470,470.00000000,0.01000000
0.00000472,472.00000000,0.01000000
0.00000474,474.00000000,0.01000000
0.00000476,476.00000000,0.01000000
0.00000478,478.00000000,0.01000000
0.00000480,480.00000000,0.01000000
0.00000482,482.00000000,0.01000000
0.00000484,484.00000000,0.01000000
0.00000486,486.00000000,0.01000000
0.00000488,488.00000000,0.01000000
0.00000490,490.00000000,0.01000000
0.00000492,492.00000000,0.01000000
0.00000494,494.00000000,0.01000000
0.00000496,496.00000000,0.01000000
0.00000498,498.00000000,0.01000000
